"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"1,Jordan Love,83,43,3,0,Sun,4,4,2025-09-28,26-330,GNB,@,DAL,T 40-40 (OT),31,43,12,72.1,337,3,0,0,7.0,0.0,118.1,1,12,2.27,7.8,9.23,8.75,10.9,56.8,3,28,9.3,0,1,66.7,0,0,0,,0,,,0,,83,100.0,0,0.0,0,0.0,QB,LoveJo03"
"2,Bo Nix,81,42,6,0,Mon,4,4,2025-09-29,25-216,DEN,,CIN,W 28-3,29,42,13,69.0,326,2,1,0,4.8,2.4,97.9,0,0,0.00,7.8,7.64,7.64,11.2,52.4,6,7,1.2,1,1,16.7,0,0,0,,0,,,0,,81,100.0,0,0.0,0,0.0,QB,NixxBo00"
"3,Tucker Kraft,79,0,0,5,Sun,4,4,2025-09-28,24-329,GNB,@,DAL,T 40-40 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,5,56,11.2,0,100.0,11.2,3,100.0,79,95.2,0,0.0,5,15.2,TE,KrafTu00"
"4,Justin Jefferson,76,0,0,11,Sun,4,4,2025-09-28,26-104,MIN,@,PIT,L 21-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,11,10,126,12.6,0,90.9,11.5,5,81.8,76,100.0,0,0.0,0,0.0,WR,JeffJu00"
"5,Carson Wentz,76,46,2,0,Sun,4,4,2025-09-28,32-272,MIN,@,PIT,L 21-24,30,46,16,65.2,350,2,2,0,4.3,4.3,84.5,6,48,11.54,7.6,6.52,4.85,11.7,46.2,2,12,6.0,0,1,50.0,0,0,0,,0,,,0,,76,100.0,0,0.0,0,0.0,QB,WentCa00"
"6,Romeo Doubs,75,0,0,8,Sun,4,4,2025-09-28,25-168,GNB,@,DAL,T 40-40 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,6,58,9.7,3,75.0,7.3,5,75.0,75,90.4,0,0.0,1,3.0,WR,DoubRo00"
"7,Matthew Stafford,75,41,4,0,Sun,4,4,2025-09-28,37-233,LAR,,IND,W 27-20,29,41,12,70.7,375,3,0,0,7.3,0.0,123.5,3,15,6.82,9.1,10.61,9.55,12.9,45.5,4,4,1.0,0,0,0.0,0,0,0,,0,,,0,,75,100.0,0,0.0,0,0.0,QB,StafMa00"
"8,Jaxson Dart,74,20,10,0,Sun,4,4,2025-09-28,22-138,NYG,,LAC,W 21-18,13,20,7,65.0,111,1,0,0,5.0,0.0,96.0,5,25,20.00,5.6,6.55,4.24,8.5,48.0,10,54,5.4,1,5,60.0,0,0,0,,0,,,0,,74,97.4,0,0.0,0,0.0,QB,DartJa00"
"9,Wan'Dale Robinson,74,0,0,5,Sun,4,4,2025-09-28,24-266,NYG,,LAC,W 21-18,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,3,14,4.7,0,60.0,2.8,0,20.0,74,97.4,0,0.0,0,0.0,WR,RobiWa01"
"10,Jordan Addison,73,0,0,8,Sun,4,4,2025-09-28,23-244,MIN,@,PIT,L 21-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,4,114,28.5,0,50.0,14.3,2,37.5,73,96.1,0,0.0,0,0.0,WR,AddiJo00"
"11,Baker Mayfield,72,40,2,0,Sun,4,4,2025-09-28,30-167,TAM,,PHI,L 25-31,22,40,18,55.0,289,2,1,0,5.0,2.5,84.3,2,17,4.76,7.2,7.10,6.36,13.1,31.0,2,13,6.5,0,1,100.0,0,0,0,,0,,,0,,72,100.0,0,0.0,0,0.0,QB,MayfBa00"
"12,T.J. Hockenson,71,0,0,5,Sun,4,4,2025-09-28,28-087,MIN,@,PIT,L 21-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,4,39,9.8,0,80.0,7.8,1,60.0,71,93.4,0,0.0,0,0.0,TE,HockTJ00"
"13,C.J. Stroud,71,28,4,0,Sun,4,4,2025-09-28,23-360,HOU,,TEN,W 26-0,22,28,6,78.6,233,2,0,0,7.1,0.0,125.1,2,9,6.67,8.3,9.75,8.80,10.6,50.0,4,11,2.8,0,3,100.0,0,0,0,,0,,,0,,71,100.0,0,0.0,0,0.0,QB,StroCJ00"
"14,Cade Otton,69,0,0,4,Sun,4,4,2025-09-28,26-166,TAM,,PHI,L 25-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,9,3.0,0,75.0,2.3,0,25.0,69,95.8,0,0.0,0,0.0,TE,OttoCa00"
"15,Dak Prescott,69,40,1,0,Sun,4,4,2025-09-28,32-061,DAL,,GNB,T 40-40 (OT),31,40,9,77.5,319,3,0,0,7.5,0.0,124.9,1,0,2.44,8.0,9.48,9.24,10.3,61.0,1,2,2.0,1,1,100.0,0,0,0,,0,,,0,,69,100.0,0,0.0,0,0.0,QB,PresDa01"
"16,Courtland Sutton,69,0,0,6,Mon,4,4,2025-09-29,29-354,DEN,,CIN,W 28-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,5,81,16.2,1,83.3,13.5,4,83.3,69,85.2,0,0.0,0,0.0,WR,SuttCo00"
"17,Cole Kmet,68,0,0,9,Sun,4,4,2025-09-28,26-202,CHI,@,LVR,W 25-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,3,46,15.3,0,33.3,5.1,2,22.2,68,100.0,0,0.0,5,19.2,TE,KmetCo00"
